Urea,Melamine,Dcda,PM(g),Time(h),Heat(℃),HR(℃/min),hata,modefiy,dope,ratio(%),load(g),area(cm2),NO(ppm),rate(mL/min),Xe,Wu,LED,Intensity(W),BET(m2/g),Eg(eV),NO2(%),NO(%)
0,0,1,10.0,2.0,550,2.5,1,0,0,61.42,0.2,109.9584178,0.55,1430.077135,0,0,1,12,52.96,2.502412429,29.72,46.9
0,0,1,10.0,2.0,550,2.5,1,0,0,81.89,0.2,110.5509307,0.55,1609.174422,0,0,1,12,51.36,2.454961256,42.0,39.1
0,0,1,10.0,2.0,550,10.0,0,0,0,0.0,0.02,95.03,0.55,2402.229661,0,0,1,15,7.0,2.681378419,55.8,26.94
0,0,1,10.0,2.0,550,10.0,0,0,0,0.0,0.02,95.03,0.55,2278.894404,0,0,1,15,28.0,2.665351596,36.5,36.43
0,0,1,10.0,2.0,550,10.0,0,1,0,6.67,0.02,95.03,0.55,2125.339882,0,0,1,15,24.0,2.665429863,14.6,52.5
0,0,1,10.0,2.0,550,10.0,0,1,0,33.33,0.02,95.03,0.55,2273.582638,0,0,1,15,5.0,2.608005567,13.29,42.23
0,0,1,10.0,2.0,550,10.0,0,0,0,0.0,0.02,95.03,0.55,1604.304183,0,0,1,15,17.50000469,2.676548102,46.14997805,36.33
0,0,1,10.0,2.0,550,10.0,0,1,0,3.33,0.02,95.03,0.55,1482.030733,0,0,1,15,23.99997694,2.665714389,22.6100619,39.14
0,0,1,10.0,2.0,550,10.0,0,1,0,16.67,0.02,95.03,0.55,1191.516981,0,0,1,15,11.00001981,2.606258825,13.48000556,43.57
0,0,1,10.0,2.0,550,10.0,0,0,0,0.0,0.2,113.1,0.55,2404.975737,0,0,1,15,54.64,2.7,33.18,41.2
0,0,1,10.0,2.0,550,10.0,0,1,0,23.8,0.2,113.1,0.55,1856.012938,0,0,1,15,41.39,2.54,22.84,52.3
0,0,1,10.0,2.0,550,10.0,0,1,0,47.6,0.2,113.1,0.55,1816.91611,0,0,1,15,41.53077279,2.50760599,42.32,25.2
0,0,1,10.0,2.0,550,10.0,0,0,0,0.0,0.2,113.1,0.55,2400.383402,0,0,1,30,9.18,2.69056246,43.47258878,19.47
0,0,1,10.0,2.0,550,10.0,0,1,0,28.19,0.2,113.1,0.55,1837.404132,0,0,1,30,38.23,2.49,27.23326464,51.18
0,0,1,10.0,2.0,550,10.0,0,1,0,56.37,0.2,113.1,0.55,1673.556878,0,0,1,30,23.56,2.42,32.1757848,44.74
0,0,1,10.0,2.0,550,10.0,0,1,0,112.77,0.2,113.1,0.55,1759.211146,0,0,1,30,17.44,2.27,34.4068786,33.32
0,1,0,0.6,4.0,550,2.3,1,0,0,3.05,0.1,113.1,0.52,2415.0,0,0,1,12,71.946,2.43,39.62620002,54.48
0,1,0,10.0,3.0,550,5.0,0,0,0,0.0,0.1,113.1,0.52,2415.0,0,0,1,12,27.05226576,2.62021338,60.59832298,22.16
1,0,0,30.0,2.0,550,5.563750879,0,0,0,0.0,0.2,113.1,0.5,1500.0,1,0,0,300,32.81159415,2.68,34.6,62.8
1,0,0,30.0,2.0,550,5.529881935,1,0,0,3.0,0.2,113.1,0.5,1500.0,1,0,0,300,39.13597394,2.63,21.9,75.4
1,0,0,20.0,2.0,550,15.0,1,0,0,33.33,0.1,113.1,0.5,2000.0,0,1,0,150,78.0,2.44,9.473884408,50.4
1,0,0,20.0,2.0,550,15.0,1,0,0,100.0,0.1,113.1,0.5,2000.0,0,1,0,150,43.0,2.73,10.77663762,28.69
1,0,0,15.0,1.0,550,13.18847745,0,0,0,0.0,0.2,78.54,0.5,2010.0,0,1,0,150,67.56595653,2.671986542,39.4,20.2
1,0,0,15.0,1.0,550,12.17722657,1,0,0,0.1,0.2,78.54,0.5,2010.0,0,1,0,150,61.32241462,2.722248563,14.3,38.5
1,0,0,15.0,1.0,550,12.17129208,1,0,0,1.0,0.2,78.54,0.5,2010.0,0,1,0,150,60.93555298,2.722351048,14.1,37.5
1,0,0,12.0,1.0,550,12.1218562,0,1,0,8.33,0.2,78.54,0.5,2010.0,0,1,0,150,58.40164707,2.723220392,15.32,23.93
1,0,0,10.0,2.0,525,15.0,0,0,0,0.0,0.199999998,113.1,0.5,2400.0,0,1,0,150,86.51402819,2.65,17.74592451,38.6
1,0,0,10.0,2.0,525,15.0,1,0,0,13.38,0.227333613,113.1,0.5,2400.0,0,1,0,150,84.4413376,2.82,16.51411318,46.7
1,0,0,20.0,2.0,550,15.0,0,0,1,0.3,0.2,113.1,0.5,2400.0,0,1,0,150,87.35126567,2.699197433,7.87,41.0
1,0,0,20.0,2.0,550,15.0,0,0,0,0.0,0.2,113.1,0.5,2400.0,0,1,0,150,87.6059131,2.562784284,52.17,24.0
1,0,0,10.0,2.0,550,5.640473615,0,0,0,0.0,0.2,113.1,0.5,2400.0,0,1,0,300,46.836,2.71,26.62880017,29.9
1,0,0,10.0,2.0,550,6.290918795,0,1,0,2.94,0.2,113.1,0.5,2400.0,0,1,0,300,40.64983419,2.582955592,26.4969259,31.4
1,0,0,10.0,2.0,550,8.661427737,0,1,0,59.87,0.2,113.1,0.5,2400.0,0,1,0,300,56.055,2.68,25.53664727,34.9
1,0,0,10.0,2.0,550,15.0,0,0,0,0.0,0.2,113.1000066,0.5,2400.0,0,1,0,150,128.1069459,2.75,46.4,20.22
1,0,0,10.0,2.0,550,15.0,0,1,0,0.1,0.2,113.0999971,0.5,2400.0,0,1,0,150,125.8131492,2.73,1.2,44.9
1,0,0,10.0,2.0,550,15.0,0,0,0,0.0,0.2,113.1,0.5,2400.0,0,1,0,150,137.0,2.44,23.5332317,36.3
1,0,0,10.0,2.0,550,15.0,1,0,0,0.5,0.2,113.1,0.5,2400.0,0,1,0,150,102.0,2.738150957,18.81400507,50.0
1,0,0,10.0,2.0,550,15.0,1,0,0,1.0,0.2,113.1,0.5,2400.0,0,1,0,150,76.0,2.74051629,21.21862852,56.4
1,0,0,10.0,2.0,550,15.0,1,0,0,2.0,0.2,113.1,0.5,2400.0,0,1,0,150,78.0,2.74575334,21.62608943,44.4
1,0,0,10.0,2.0,550,15.0,1,0,0,3.33,0.2,113.1,0.5,2400.0,0,1,0,150,61.0,2.754746505,20.53046539,46.0
0,1,0,6.382376166,2.0,500,16.78241178,1,0,0,900.0,0.2,113.1,0.5,3000.0,1,0,0,300,54.503355,2.862863297,10.66,30.29
0,1,0,6.281761023,2.0,500,3.337030647,1,0,0,66.67,0.2,113.1,0.5,3000.0,1,0,0,300,40.44710036,2.655812758,17.24,33.23
1,0,0,9.998394179,2.0,550,2.943444131,0,0,0,0.0,0.2,113.1,0.5,3000.0,1,0,0,300,32.81110186,2.76,11.87221249,69.47
1,0,0,9.984064486,2.0,550,4.862129171,1,0,0,25.0,0.2,113.1,0.5,3000.0,1,0,0,300,35.82697283,2.7,21.45557271,82.44
1,0,0,9.965966101,2.0,550,2.973199491,1,0,0,42.86,0.2,113.1,0.5,3000.0,1,0,0,300,36.89118355,2.665599193,9.261434344,79.77
0,1,0,10.0,2.0,550,2.0,0,0,0,0.0,0.2,113.1,0.45,3000.0,1,0,0,300,30.4221905,2.74,11.72,25.84
0,1,0,10.0,2.0,550,2.0,1,0,0,50.0,0.2,113.1,0.45,3000.0,1,0,0,300,39.17908156,2.661480868,6.84,39.02
0,1,0,1.0,3.0,500,2.5,0,0,1,2.84,0.1,78.54,0.4,3000.0,1,0,0,300,26.56302502,2.694036017,39.53,26.88
0,1,0,1.0,3.0,500,2.5,0,0,1,5.69,0.1,78.54,0.4,3000.0,1,0,0,300,27.9,2.54,24.35,30.4
1,0,0,10.0,4.0,550,5.0,0,0,0,0.0,0.05,68.44141695,0.4,1674.034294,1,0,0,300,39.74126332,2.66,48.8609924,50.0
1,0,0,10.0,4.0,550,5.0,1,0,0,10.0,0.05,81.27293951,0.4,1816.864061,1,0,0,300,55.97089444,2.67249469,30.18690306,57.13
1,0,0,10.0,4.0,550,5.0,1,0,0,15.0,0.05,92.16312217,0.4,2211.814327,1,0,0,300,54.62770626,2.682022237,28.39279307,60.67
1,0,0,10.0,4.0,550,5.0,1,0,0,20.0,0.05,99.98558882,0.4,2441.355896,1,0,0,300,54.32905721,2.692461344,27.51667302,64.0
1,0,0,10.0,2.0,550,5.055444922,0,0,0,0.0,0.025,28.26999838,0.3,420.0,1,0,0,300,51.1,2.62543896,33.36445349,29.0
1,0,0,10.0,1.5,500,7.0,0,0,1,1.01,0.025,28.26999817,0.3,420.0,1,0,0,300,78.37,2.915034276,31.89403332,64.17
1,0,0,10.0,1.5,500,7.0,0,0,1,3.09,0.025,28.26999774,0.3,420.0,1,0,0,300,83.86,2.91,31.19397221,87.1
1,0,0,10.0,1.5,500,7.0,0,0,1,5.26,0.025,28.27000165,0.3,420.0,1,0,0,300,81.5,2.908422271,30.96395441,73.3
